"ok","sim","não precisa",45,"Exposta",,,"Candomblé","https://lh3.googleusercontent.com/o76vtUs5ktLDJn2VIlcc35o7Ngx_se8Sv5hkylcm7fQ=w1192-h785-no","Evandro Teixeira","Coleção do artista","Passagem de ano no Jardim de Alá  ","Praia de Ipanema, Rio de Janeiro, 1992",,"Fotografia / processo gelatina ","30,5 x 40,7 cm (medida da foto existente)",1000,,,,"OK finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,46,"Exposta","DSCF2206",,"Candomblé","https://lh3.googleusercontent.com/aqAfXW4l6_UsY_pVJ1defpDuhHSyYjQEiA9KIL3LLWk=w513-h323-no","Evandro Teixeira","Coleção do artista","Baiana na passagem do ano em Copacabana","Copacabana, Rio de Janeiro, 2014",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"ok",,,161,"Exposta","Ev015",,"Candomblé","https://lh3.googleusercontent.com/-ofMlSqMmj0A/Vfcwg6_AQeI/AAAAAAAACLU/TI4sg9n_cSs/w506-h335/iemanj%25C3%25A1.jpg","Evandro Teixeira","Coleção do artista","Iemanjá na praia","Ipanema, Rio de Janeiro, 2014",,"Inkjet print. Pigmento mineral sobre papel","30 x 40 cm ",400,,,,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim","não precisa",101,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-TTKcoY4sz1s/VcjGF4thP9I/AAAAAAAANlE/zwptQgeXkmE/w945-h709-no/IMG_9455.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Planta macambira, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005320","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,102,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-dMeu6jWk4FM/VcjGJIHWxeI/AAAAAAAANmY/NZCRJNRenQc/w945-h709-no/IMG_9460.jpg","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Dona Joana Ciriaco com facão na mão, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005325","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,103,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-vZN9TtMcGXA/VcjFKoNr8_I/AAAAAAAANeo/3mpD-wrUb9I/w945-h709-no/IMG_9403%2B%25281%2529.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Caminhada em busca de água, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005271","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,104,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-WEMxPzwD68A/VcjEm6FD6zI/AAAAAAAANbo/htaRLZIkDEI/w945-h709-no/IMG_9378.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Cabras, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005247","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,105,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-ohsSkJ_Q35E/VcjE5gvU7cI/AAAAAAAANc0/O8um3WDM2Uo/w945-h709-no/IMG_9386%2B%25281%2529.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Casebre e senhora, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005255","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,106,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-pkrBc7l9wuQ/VcjFrfsPjnI/AAAAAAAANiA/stfGLlTmleE/w945-h709-no/IMG_9432.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Casebre e árvore, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005297","Col. MAR - Fundo Evandro Teixeira",,"ok impresso",,,,,,,,,,,,,,,
"pendente","sim",,107,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-vSGaXPpc7Fc/VcjGdGVehPI/AAAAAAAANtQ/M1pt2NxdiyQ/w945-h709-no/IMG_9488.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Senhor e criança puxando bodes, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm ",1500,"MAR.2015.005352","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,108,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-PmISy6AKolY/VcjGUZT8veI/AAAAAAAANqc/Yp4x4SCxUzw/w945-h709-no/IMG_9473.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Cemitério de bois, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm ",1500,"MAR.2015.005338","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,109,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-aqWT0k6tPA4/VcjF3N2UGcI/AAAAAAAANjw/IlIN4XfH6KE/w945-h709-no/IMG_9448.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Paisagem com vilarejos silenciosos, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005313","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,110,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-O-al4zu21yY/VcjFRFEdgqI/AAAAAAAANfY/PJSQ6bqUMyw/w945-h709-no/IMG_9408.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Paisagem com igreja, cruz ao centro e casinhas ao entorno, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005276","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,111,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-UcMdfcC_3g0/VcjGYKytqPI/AAAAAAAANrs/2hQltIaHRhQ/w945-h709-no/IMG_9478.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Seu Antônio da Isabel, de 105 anos, tem a lucidez dos sobreviventes, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm ",1500,"MAR.2015.005343","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,112,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-4Nx11alzawY/VcjFYQRdFoI/AAAAAAAANgY/J_C76g7XWaY/w945-h709-no/IMG_9420.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Trilhas de pedras, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005285","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,113,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-FBJqF1x5kmw/VcjFC4s6CUI/AAAAAAAANd4/Au29BRmOdVc/w945-h709-no/IMG_9397.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Mulheres de lenço e trouxa na cabeça, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005265","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,114,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-bqs2lFD4JlM/VcjF3naKFCI/AAAAAAAANj4/TxdB9lDvsvY/w945-h709-no/IMG_9446.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Paisagem com estrada infinita e senhora caminha com bode, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005311","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,115,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-_gBOVnndNXM/VcjGbZEr4MI/AAAAAAAANso/KK2-KNIXar8/w945-h709-no/IMG_9485.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Padres segurando imagem de cristo, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm ",1500,"MAR.2015.005349","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,116,"Exposta",,,"Canudos ","https://lh6.googleusercontent.com/-e8C0v9y7DaU/VcjGSPCWs5I/AAAAAAAANzc/HW2umpJhnHo/w532-h709-no/IMG_9470.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Imagem de santo do século XVIII esculpido em tamanho real, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","30 x 20 cm",1500,"MAR.2015.005335","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,117,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-nXH4XKPDw_E/VcjFxrXPOvI/AAAAAAAANjI/iVtPcTthvCg/w945-h709-no/IMG_9442.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","A procissão sobre a serra da Santa Cruz de Monte Santo, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005307","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,118,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-29xdB_ueEbY/VcjFwTjEWUI/AAAAAAAANiw/o2pY_q_TiEg/w945-h709-no/IMG_9440.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Caminho da Santa Cruz, em Monte Santo, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005305","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,119,"Exposta",,,"Canudos ","https://lh6.googleusercontent.com/-TH0VUHpAG_I/VcjEztA6ZbI/AAAAAAAANcU/8aIT8k3VO-s/w532-h709-no/IMG_9384.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Senhor carregando a cruz de cristo, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","30 x 20 cm",1500,"MAR.2015.005253","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,120,"Exposta",,,"Canudos ","https://lh4.googleusercontent.com/-YH8OG_t0Fac/VcjFeIgD_VI/AAAAAAAANhA/BiBLZlET5yU/w945-h709-no/IMG_9424.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Multidão acompanha o esquife a caminho da santa cruz do monte santo, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","20 x 30 cm",1500,"MAR.2015.005289","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
"pendente","sim",,121,"Exposta",,,"Canudos ","https://lh6.googleusercontent.com/-zXDGK-IiOcE/VcjGbJWOhnI/AAAAAAAAN0c/DoL2I-nlgQE/w532-h709-no/IMG_9484.JPG","Evandro Teixeira","Coleção MAR, Fundo Evandro Teixeira","Menina rezando ajoelhada sobre chão, da série ""Canudos 100 anos""","Canudos, Bahia, 1996",,"Fotografia / processo gelatina ","30 x 20 cm ",1500,"MAR.2015.005348","Col. MAR - Fundo Evandro Teixeira",,"ok finalizado","Em exposição",,,,,,,,,,,,,,
