object_id,numero_de_chamada,autor_principal,entradas_secundariasautor,entradas_secundariasautor_2,titulo_principal,publicacao,descricao_fisica,notas,assuntos,entradas_secundariasautor_3,catalogacao_pre_marc,serie,isbn,outros_titulos,entradas_secundariasautor_4,entradas_secundariasautor_5,entradas_secundariasautor_6,entradas_secundariasautor_7,entradas_secundariasautor_8,entradas_secundariasautor_9,notas_de_resumo,entradas_secundariastitulo,edicao,issn,entradas_secundariasautor_10,entradas_secundariasautor_11,entradas_secundariasautor_12,entradas_secundariasautor_13,entradas_secundariasautor_14,entradas_secundariasautor_15,entradas_secundariasautor_16,entradas_secundariasautor_17,entradas_secundariasautor_18,entradas_secundariasautor_19,entradas_secundariasautor_20,entradas_secundariasautor_21,entradas_secundariasautor_22,entradas_secundariasautor_23,entradas_secundariasautor_24
791,"INDIVIDUAL ZARIF, Fernando Z37c  1995 Coleção Bibliográfica","Zarif, Fernando",Museu de Arte Moderna do Rio de Janeiro,"Resende, José texto 
Museu de Arte Moderna do Rio de Janeiro
Vainer, Paulo fotografia",O corpo humano e outros corpos / Fernando Zarif ; [texto] José Resende; [fotografia] Paulo Vainer,"Rio de Janeiro : Museu de Arte Moderna, 1995.",[20] p. : il. color. ; 23 cm,"Catálogo publicado em decorrência da exposição realizada no Museu de Arte Moderna do Rio de Janeiro, no período de 30 de março a 30 de abril de 1995.","O corpo humano e outros corpos Rio de Janeiro 1995
Desenho (obra visual) Brasil -- Século 20
Arte contemporânea (período) Brasil -- Século 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,"INDIVIDUAL JACOMINO, Bruno J16e  2010 Coleção Bibliográfica","Jacomino, Bruno",Centro Cultural Banco do Nordeste Fortaleza,Fortaleza,Entre a luz e a linha / [curadoria]: Beatriz Lemos,"Fortaleza : Centro Cultural Banco do Nordeste, [2010].",16 p. : il. color. ; 21 cm,"Catálogo publicado em decorrência da exposição realizada no Centro Cultural banco do Nordeste Fortaleza, na cidade de Fortaleza no período de 29 de maio a 10 de julho de 2011","Entre a luz e a linha Fortaleza 2011
Instalação (trabalho visual) Brasil -- Século 21
Arte sonora Brasil -- Século 21
Arte contemporânea (período) Brasil -- Século 21","Lemos, Beatriz curadoria 
Centro Cultural Banco do Nordeste Fortaleza Fortaleza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,,,,,"Multiplicidade : imagem, som, inusitados","Rio de Janeiro : Aeroplano, 2009.",127 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,82-1(81) A663k  2012 Coleção Bibliográfica,"Araújo, Vital Corrêa de","Pacheco, Cyane ilustração",,Kant não estuprou a camareira / Vital Corrêa de Araújo ; [ilustração] Cyane Pacheco,"Recife : Bagaço, 2012.",133 p. : il. p&b ; 22 cm,Acima do título: Ler VCA causa AVC adverte Silvio Hansen.,Poesia -- Brasil -- Século 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,II panorama do pensamento emergente,"Recife : FUNARTE, 2013.",16 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,,"Barreto, Eduardo",,,O culto : um culto ao tempo,"Rio de Janeiro : Galeria Cândido Portinari, 1998.",ca. 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,94(815.1) I59s  2010 Coleção Bibliográfica,Instituto do Patrimônio Histórico e Artístico Nacional - Iphan,"Queiroz, Maria da Graça Soto Coordenação",,Serro : Minas Gerais,"Brasília : IPHAN, 2010.",79 p. : il. p&b ; 27 cm,,"História -- Minas Gerais -- Século 20
Serro / MG
Fotografia -- Brasil -- Século 20",,,(Imagens ; 4),ISBN : 9788573341522,,,,,,,,,,,,,,,,,,,,,,,,,,
65,726(81) O48b  2010 Coleção Bibliográfica,"Oliveira, Myriam Andrade Ribeiro de","Santos, Olinto Rodrigues dos co-autor 
Zimbres, Paula tradução",,"Barroco e rococó nas igrejas de São João Del-Rei e Tiradentes / Myriam A. Ribeiro de Olveira, Olinto Rodrigues dos Santos ; [tradução] Paula Zimbres","Brasília : IPHAN/Programa Monumenta, 2010.",2 v. : il. color. ; 22 cm,Texto em português e inglês.,"Arquitetura religiosa -- Brasil -- Século 21
Minas Gerais
Igreja (edifício) -- Brasil -- Século 21
Arte barroca (período) -- Brasil -- Século 21",,,(Roteiros do patrimônio ; 8),,Baroque and rococo in the churches of São João del-Rei and Tiradentes,,,,,,,,,,,,,,,,,,,,,,,,,
480,,"Zerpa, Carlos",,,Commulga,"S. l. : s. n., 1991.",15 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,,"Martins, Sylvia",,,Cachos : pinturas,"Salvador : Museu de Arte Moderna da Bahia, 2004.",ca. 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,COLETIVO Salão Nacional de Artes Plásticas S161d  1993 Coleção Bibliográfica,Fundação Nacional de Artes,Rio de Janeiro,Salão Nacional de Artes Plásticas (13 : 1993 : Rio de Janeiro)Fundação Nacional de Artes Rio de Janeiro,13. Salão Nacional de Artes Plásticas,"Rio de Janeiro : FUNARTE, 1993.",62 p. : il. color. ; 20 cm,"Catálogo publicado em decorrência da exposição realizada na Funarte, na cidade do Rio de Janeiro, em 1993.","Rocha, Adriana artista
Arte plástica Brasil -- Século 20
Tostes, Afonso artista
Pintura (obra visual) Brasil -- Século 20
Nóbrega, Alexandre artista
Escultura (trabalho visual) Brasil -- Século 20
Grieco, Alfredo artista
Xilogravura (gravura) Brasil -- Século 20
Freiberger, Angela artista
Fotografia Brasil -- Século 20
Mattos, Armando artista
Colagem (obra visual) Brasil -- Século 20
Herkenhoff, Augusto artista
Serigrafia Brasil -- Século 20
Amaral, Carla artista
Instalação (trabalho visual) Brasil -- Século 20
Uchôa, Carlos artista
Gravura Brasil -- Século 20
Chai, Chang Chi artista
Arte contemporânea (período) Brasil -- Século 20
Barbisan, Cláudia artista
Rodrigues, Conceição artista
Martins, Cosme artista
Salgado, Cristina artista
Feingold, Daniel artista
Cury, David artista
Paiva, Deborah artista
Torbes, Denize artista
Paiva, Djalma artista
Derdyk, Edith artista
Nunes, Edmilson artista
Barreto, Eduardo artista
Haesbaert, Eduardo artista
Pires, Eduardo de M. artista
Cunha, Eduardo Vieira da artista
Duarte, Eliane artista
Bernardelli, Enrica artista
Noronha, Fábio Jabur de artista
Khoury, Feres artista
Augusto, Fernando artista
Chaves, Fernando artista
Lopes, Fernando artista
Velloso, Fernando M. artista
Magalhães, Francisco artista
Moraes, Frederico Dalton de artista
Machado, Gabriela artista
Kyriakakis, Geórgia artista
Nunes, Gilvan artista
Holanda, Giodana artista
Waetge, Gisela artista
Guillermo A. C. artista
Garnier, Gustavo artista
Siqueira, Hélio artista
Marques, Igor Krivochein artista
Hochmann, Ileana artista
Conceição, Imaculada artista
Aderne, Isa artista
Adam, Jacqueline artista
Atanásio, João artista
Duarte, Jorge artista
Bechara, José artista
Bento, José artista
Damasceno, José artista
Schneider, Karin artista
Carvalho, Klinger artista
Miranda, Laura artista
Faria, Letícia artista
Ribeiro, Lígia Teixeira artista
Machado, Loris artista
Monken, Luiz Cesar artista
Semerene, Lydia artista
Orsi, Marcelo artista
Ramos, Márcia artista
Pinheiro, Márcia X. artista
Carvalho, Márcio do Vale artista
Rolla, Marco Paulo artista
Coelho, Maria Helena artista
Louro, Maria Tereza artista
Saleme, Marina artista
Röhnelt, Mario artista
Ruiz, Maurício artista
Farina, Mauricius artista
Karan, Meire artista
Kurtz, Milton artista
Barki, Monica artista
Sartori, Mônica artista
Shishiny, Naila El artista
Screnci, Nelson artista
Bellavinha, Niura artista
Negromonte, Nydia artista
Miranda, Paulo artista
Wrede, Pedro artista
Rechtand artista
Maurício, Ricardo artista
Rinaldo artista
Neuenschwander, Rivane artista
Bethônico, Roberto artista
Athayde, Rodolfo artista
Macedo, Ronaldo do Rego artista
Palazyan, Rosana artista
Renno, Rosangela artista
Lengen, Rose Van artista
Tucci, Sandra artista
Soriano, Silvana artista
Zamboni, Silvio artista
Pereira, Thales artista
Portes, Thereza artista
Barbosa, Vania artista
Martins, Vera artista
Guerra, Walter artista
Piran, Wilson artista
Ferraz, Zina artista",,,,,Décimo terceiro Salão Nacional de Artes Plásticas,,,,,,,,,,,,,,,,,,,,,,,,,
700,COLETIVO Museu Ludwing M986  2012 Coleção Bibliográfica,Museu Ludwing Alemanha 2012,Museu Ludwing,Alemanha,Junger ankauf : für das Museum Ludwig / [texto] Carla Cugini,"Alemanha : Museum Ludwig, 2012.",64 p. : il. p&b. algumas paginas duplas. ; 24 cm,Texto em alemão e inglês.,"Piller, Peter artista
Sacevic, Bojar artista
Bur, Tom artista
Arceneaux, Edgar artista
Philipsz, Susan artista
Ondák, Roman artista
Baghramian, Nairy artista",2012,,,,,"Cugini, Carla texto 
Museu Ludwing Alemanha 2012",,,,,,,,,,,,,,,,,,,,,,,,
846,COLETIVO Museu da Casa Brasileira M986p  2004 Coleção Bibliográfica,Museu da Casa Brasileira São Paulo,Museu da Casa Brasileira,São Paulo,Pios da mata : patrimônio do Espírito Santo / Museu da Casa Brasileira; [curadoria] Ronaldo Barbosa ; [texto] Adélia Borges ; [tradução] Renato Rezende,"São Paulo : Museu da Casa Brasileira, 2004.",[36] p. : il. color. ; 21 cm,"Catálogo publicado em decorrência da exposição realizada no Museu da Casa Brasileira, na cidade de São Paulo, em dezembro de 2004.
Texto em português e inglês.","Pios da mata São Paulo 2004
Escultura (trabalho visual) Brasil -- Século 21
Arte contemporânea (período) Brasil -- Século 21","Barbosa, Ronaldo curadoria 
Museu da Casa Brasileira São Paulo
Borges, Adélia texto
Rezende, Renato tradução",,,,Woodland birdcall whistles  a heritage of state of Espirito Santo,,,,,,,,,,,,,,,,,,,,,,,,,
245,77:572 S728p  2011 Coleção Bibliográfica,"Souty, Jérome","Colin, Michel tradução",,Pierre Fatumbi Verger : do olhar livre ao conhecimento iniciático / Jérome Souty ; tradução de Michel Colin,"São Paulo : Terceiro Nome, 2011.",446 p. : il. p&b ; 23 cm,,"Fotografia Brasil
Antropologia social Brasil
Religião (disciplina) Brasil",,,,ISBN : 9788578160814,,,,,,,,,,,,,,,,,,,,,,,,,,
47,94(81).025 O48a  2008 Coleção Bibliográfica,"Oliveira, Mário Mendonça de",,,As fortalezas e a defesa de Salvador / Mário Mendonça de Oliveira,"Brasília : IPHAN/Programa Monumenta, 2008.",224 p. : il. color. ; 22 cm,"Exemplar em português e inglês.
O exemplar possui um mapa.","História -- Salvador -- Século 21
Patrimônio cultural -- Salvador -- Século 21",,,(Roteiros do patrimonio),,,,,,,,,,,,,,,,,,,,,,,,,,,
517,,"Kossoy, Leonardo",,,Deosriente : o eu nômade,"Rio de Janeiro : Centro Cultural Banco do Brasil, 2005.",97 p.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,"INDIVIDUAL ALMEIDA, Paulo Humberto de A447l  1996 Coleção Bibliográfica",Casa de Cultura Laura Alvim,Rio de Janeiro,"Almeida, Paulo Humberto deCasa de Cultura Laura Alvim Rio de Janeiro","Linguas, cheios, brincos, turandot e os outros / Paulo Humberto de Almeida","Rio de Janeiro : Casa de Cultura Laura Alvim, 1996.",8 p. : il. color. ; 16 cm,"Catálogo publicado em decorrência da exposição realizada na Casa de Cultura Laura Alvim, na cidade do Rio de Janeiro no período de 10 de dezembro de 1996 a 7 de janeiro de 1997","Línguas, cheios, brincos, turandot e outros Rio de Janeiro 1996
Escultura (trabalho visual) Brasil -- Século 20
Instalação (trabalho visual) Brasil -- Século 20
Arte contemporânea (período) Brasil -- Século 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,7.036(81) Q1  2001 Coleção Bibliográfica,,"Hollanda, Heloísa Buarque de organização 
Andrade, Carlos Drummond de texto
Lima, Jorge de texto
Andrade, Mario de texto
Bandeira, Manoel texto
Mendes, Murilo texto
Andrade, Oswald de texto
Moraes, Vinicius de texto
Milan fotografia",,Guia poético do Rio de Janeiro : o olhar modernista / Organização: Heloisa Buarque de Hollanda,"Rio de Janeiro : Aeroplano, 2001.",137 p. : il. color. ; 17 cm,,Poesia Brasil,,,(Quando o Brasil era Moderno),ISBN : 8586579238,,,,,,,,,,,,,,,,,,,,,,,,,,
